Date,Open,High,Low,Close,Volume,High-low,Open-close
14-02-2018,373.9,382.4,371.2,376.85,600577,11.2,-2.95
15-02-2018,379,382.4,373.85,376.15,585612,8.55,2.85
16-02-2018,377.25,379.4,368.3,370.55,500663,11.1,6.7
19-02-2018,371.95,374,363.5,367.75,431513,10.5,4.2
20-02-2018,370,370.7,366.5,368.9,228993,4.2,1.1
21-02-2018,370.3,374,363,364.35,454904,11,5.95
22-02-2018,364,364,357.9,358.55,451987,6.1,5.45
23-02-2018,357.55,364.5,357.55,360.45,486548,6.95,-2.9
26-02-2018,362,373.5,362,372.05,611335,11.5,-10.05
27-02-2018,375,376.8,370.55,372.85,365754,6.25,2.15
28-02-2018,369,373.5,367.05,370.2,357224,6.45,-1.2
01-03-2018,367.9,376.25,367.9,370.85,593743,8.35,-2.95
05-03-2018,370.85,370.85,351,352.15,888581,19.85,18.7
06-03-2018,356.95,358,345,346.6,786916,13,10.35
07-03-2018,345,354.9,342.9,348,844076,12,-3
08-03-2018,350.55,351.8,341.75,345.9,471093,10.05,4.65
09-03-2018,345,348.7,340.65,341.7,487081,8.05,3.3
12-03-2018,344.55,353.05,340.65,352.2,522985,12.4,-7.65
13-03-2018,351.95,356.35,350.05,353.75,391607,6.3,-1.8
14-03-2018,352.85,354.95,349.8,354.15,269680,5.15,-1.3
15-03-2018,355,358.4,351.3,353.05,2625555,7.1,1.95
16-03-2018,352.9,352.9,339,340.1,707153,13.9,12.8
19-03-2018,341.9,342.45,332.55,335.75,559922,9.9,6.15
20-03-2018,335.75,340.4,333.4,339.25,366544,7,-3.5
21-03-2018,340,342.3,332.6,333.9,494549,9.7,6.1
22-03-2018,339.8,339.9,335,338.2,481307,4.9,1.6
23-03-2018,331,335,330.1,331.1,496525,4.9,-0.1
26-03-2018,330,333.7,324.5,332.05,629409,9.2,-2.05
27-03-2018,333.9,335.7,330,331.05,432538,5.7,2.85
28-03-2018,331.25,333.75,326.15,327.45,494682,7.6,3.8
02-04-2018,335,340,332,338.8,459555,8,-3.8
03-04-2018,339.35,344.7,337.45,343.35,574172,7.25,-4
04-04-2018,349.85,363.45,346.1,355.7,1476617,17.35,-5.85
05-04-2018,364.8,372.4,360.4,363.6,2198237,12,1.2
06-04-2018,363.5,368.25,356.6,363.85,653999,11.65,-0.35
09-04-2018,363.9,368.4,357,358.3,494256,11.4,5.6
10-04-2018,360.95,362.45,352,353.4,474398,10.45,7.55
11-04-2018,354.1,357.1,350.7,355.3,373758,6.4,-1.2
12-04-2018,359.3,363.95,356.85,358.05,734607,7.1,1.25
13-04-2018,359,360.6,354.45,356.65,259261,6.15,2.35
16-04-2018,351.5,352.5,337.9,338.95,1281628,14.6,12.55
17-04-2018,341.4,344.3,333.1,336.9,701127,11.2,4.5
18-04-2018,338,339.95,334.1,335.5,399398,5.85,2.5
19-04-2018,336,337,332.5,334.85,387920,4.5,1.15
20-04-2018,336,343,334.8,336.25,802632,8.2,-0.25
